categoria,producto,color,etiqueta,precio,talles,imagen
CONJUNTO VARSITY,BERMUDA VARSITY WASH OXID,Gris,PROXIMAMENTE,32990,"S,M,L,XL",img/BERMUD~1.PNG
CONJUNTO VARSITY,CAMPERA VARSITY BLACK,Negro,PROXIMAMENTE,39990,"S,M,L,XL",img/CAMPER~2.PNG
CONJUNTO VARSITY,BERMUDA VARSITY BLACK,Negro,PROXIMAMENTE,29990,"S,M,L,XL",img/BERMUD~2.PNG
CAMPERA ZIP,CAMPERA HONORS,Celeste,NEW IN,39990,"S,M,L,XL",img/campera-honors-celeste.jpg|img/campera-honors-celeste-2.jpg
CAMPERA ZIP,CAMPERA HONORS,Gris,NEW IN,39990,"S,M,L,XL",img/campera-honors-gris.jpg|img/campera-honors-gris-2.jpg
CAMPERA ZIP,CAMPERA SERIF,Negro,AGOTADO,42990,"S,M,L,XL,XXL",img/campera-serif-negro.jpg|img/campera-serif-negro-2.jpg|img/campera-serif-negro-3.jpg
CAMPERA ZIP,CAMPERA SHIELD,Beige,AGOTADO,42990,"S,M,L,XL,XXL",img/campera-shield-beige.jpg|img/campera-shield-beige-2.jpg|img/campera-shield-beige-3.jpg|img/campera-shield-beige-4.jpg|img/campera-shield-beige-5.jpg
CAMPERA ZIP,CAMPERA BADGE,Beige,AGOTADO,42990,"S,M,L,XL,XXL",img/campera-badge-beige.jpg|img/campera-badge-beige-2.jpg
CAMPERA ZIP,CAMPERA TRACE,Negro,AGOTADO,42990,"S,M,L,XL,XXL",img/campera-trace-negro.jpg|img/campera-trace-negro-2.jpg|img/campera-trace-negro-3.jpg
JEANS,JEAN BAGGY BLUE OXID,Celeste,NEW IN,34990,"38,40,42,44,46,48",
JEANS,JEAN BAGGY BLUE GREY,Celeste,NEW IN,34990,"38,40,42,44,46,48",img/baggy-blue-grey-1.jpeg
JEANS,JEAN BAGGY SKETCH,Celeste oxido,AGOTADO,34990,"38,40,42,44,46,48",img/jean-baggy-sketch-celeste.jpg|img/jean-baggy-sketch-celeste-2.jpg|img/jean-baggy-sketch-celeste-3.jpg|img/jean-baggy-sketch-celeste-4.jpg
JEANS,JEAN BAGGY STAIN,Negro,AGOTADO,34990,"38,40,42,44,46,48",
JEANS,BAGGY BILLOW,Azul oxido,AGOTADO,32990,"34,36,38,40,42,44,46",img/jean-billow-oxid-azul.jpg|img/jean-billow-oxid-azul-2.jpg|img/jean-billow-oxid-azul-3.jpg|img/jean-billow-oxid-azul-4.jpg
JEANS,BAGGY BILLOW,Celeste,AGOTADO,32990,"34,36,38,40,42,44,46",img/jean-billow-oxid-celeste.jpg|img/jean-billow-oxid-celeste-2.jpg|img/jean-billow-oxid-celeste-3.jpg|img/jean-billow-oxid-celeste-4.jpg
JEANS,JEAN WIDE OXID,Azul,AGOTADO,39990,"34,36,38,40,42,44,46",img/jean-wide-oxid-azul.jpg|img/jean-wide-oxid-azul-2.jpg|img/jean-wide-oxid-azul-3.jpg|img/jean-wide-oxid-azul-4.jpg
JEANS,JEAN WIDE OXID,Celeste,AGOTADO,39990,"34,36,38,40,42,44,46",img/jean-wide-oxid-celeste.jpg|img/jean-wide-oxid-celeste-2.jpg|img/jean-wide-oxid-celeste-3.jpg|img/jean-wide-oxid-celeste-4.jpg|img/jean-wide-oxid-celeste-5.jpg
BOXERS,BOXERS BMB,Azul,,9990,"S,M,L,XL,XXL",img/boxer-azul.png
BOXERS,BOXERS BMB,Gris,,9990,"S,M,L,XL,XXL",img/boxer-gris.png
BOXERS,BOXERS BMB,Negro,,9990,"S,M,L,XL,XXL",img/boxer-negro.png
ACCESORIOS,BANDOLERA BMB ecocuero,,,11990,,img/bandolera-bamba.png
